state,vat_pct,ms_bnL,ethanol_bnL,vat_lost_cr,sgst_gain_cr,net_state_loss_cr
Maharashtra,25.0,5.91,1.77,3455,266,3189
Karnataka,29.84,4.13,1.24,2882,186,2696
UttarPradesh,19.36,6.53,1.96,2959,294,2665
Telangana,35.2,2.43,0.73,2005,110,1895
Rajasthan,29.04,2.75,0.83,1869,124,1746
MadhyaPradesh,29.0,2.64,0.79,1793,119,1674
Kerala,30.08,2.54,0.76,1788,114,1673
AndhraPradesh,31.0,2.2,0.66,1595,99,1496
TamilNadu,13.0,4.78,1.43,1453,215,1238
Gujarat,13.7,3.65,1.1,1170,164,1006
WestBengal,25.0,1.86,0.56,1090,84,1006
Odisha,28.0,1.56,0.47,1024,70,953
Bihar,23.58,1.57,0.47,866,71,795
Haryana,18.2,1.93,0.58,823,87,736
Chhattisgarh,24.0,1.19,0.36,669,54,615
Punjab,16.58,1.69,0.51,657,76,580
Delhi,19.4,1.4,0.42,635,63,572
Assam,24.77,0.97,0.29,564,44,520
Jharkhand,22.0,1.02,0.31,526,46,480
Jammu&Kashmir,24.0,0.56,0.17,313,25,288
Uttarakhand,16.97,0.66,0.2,262,30,232
HimachalPradesh,17.5,0.48,0.14,198,22,176
Goa,21.5,0.29,0.09,147,13,134
Puducherry,14.55,0.26,0.08,88,12,77
Manipur,25.0,0.11,0.03,66,5,61
Chandigarh,15.24,0.17,0.05,62,8,54
Meghalaya,13.5,0.2,0.06,63,9,54
Nagaland,21.75,0.08,0.02,41,4,37
ArunachalPradesh,14.5,0.12,0.04,41,5,36
Tripura,17.5,0.1,0.03,39,4,35
Mizoram,18.0,0.08,0.02,34,4,30
Sikkim,22.0,0.04,0.01,21,2,19
Dadra & Nagar Haveli And Daman & Diu,12.75,0.06,0.02,19,3,16
Ladakh,15.0,0.03,0.01,11,1,9
Lakshadweep,10.0,0.0,0.0,0,0,0
Andaman&Nicobar,1.0,0.03,0.01,1,1,-1
