chapter,name,exports_usd_mn,imports_usd_mn,net_usd_mn,trade_balance
29,Organic chemicals (monomers for synthetics),20120.7,26590.5,-6469.9,Deficit
39,Plastics & polymer feedstock (CRITICAL),8158.2,22116.0,-13957.8,Deficit
41,"Hides, skins (upstream)",446.7,425.9,20.8,Surplus
51,"Wool, animal hair",135.1,292.2,-157.1,Deficit
52,Cotton,6334.0,1418.5,4915.4,Surplus
53,Vegetable textile fibers,610.1,672.7,-62.6,Deficit
54,Man-made filaments (synthetic),1769.8,1514.5,255.3,Surplus
55,Man-made staple fibers (MMF),1613.3,840.1,773.2,Surplus
56,"Wadding, felt, nonwoven",666.2,474.6,191.7,Surplus
57,Carpets,2097.7,174.3,1923.4,Surplus
58,Special textiles,367.5,227.7,139.8,Surplus
59,"Impregnated, coated textiles",503.5,808.6,-305.1,Deficit
60,Knitted fabrics,590.9,894.1,-303.2,Deficit
61,Apparel (knit),7703.9,730.6,6973.3,Surplus
62,Apparel (woven),8303.1,912.0,7391.2,Surplus
63,Made-up textile articles,6103.1,635.6,5467.6,Surplus
64,Footwear,2504.8,679.2,1825.6,Surplus
68,Glass/ceramic composites,2213.2,1070.8,1142.4,Surplus
70,Glass & glass products,1143.4,2198.5,-1055.0,Deficit
