chapter,name,exports_usd_mn_fy25,imports_usd_mn_fy25,net_usd_mn_fy25,exports_usd_mn_fy26,imports_usd_mn_fy26,net_usd_mn_fy26,trade_balance_fy26,export_growth_pct,import_growth_pct
29,Organic chemicals (monomers for synthetics),20120.7,26590.4,-6469.8,20408.7,25410.6,-5001.9,Deficit,1.4,-4.4
39,Plastics & polymer feedstock (CRITICAL),8158.3,22116.0,-13957.7,7597.3,22234.5,-14637.2,Deficit,-6.9,0.5
41,"Hides, skins (upstream)",446.7,425.9,20.8,399.1,391.0,8.1,Surplus,-10.7,-8.2
50,Silk,162.7,177.0,-14.2,257.1,208.1,49.0,Surplus,58.0,17.6
51,"Wool, animal hair",135.1,292.2,-157.1,151.8,335.3,-183.5,Deficit,12.3,14.7
52,Cotton,6334.0,1418.6,4915.4,5983.5,2128.7,3854.7,Surplus,-5.5,50.1
53,Vegetable textile fibers,610.1,672.7,-62.6,881.6,540.6,341.0,Surplus,44.5,-19.6
54,Man-made filaments (synthetic),1769.7,1514.5,255.2,1620.7,1958.2,-337.4,Deficit,-8.4,29.3
55,Man-made staple fibers (MMF),1613.2,840.2,773.0,1575.3,1071.8,503.5,Surplus,-2.4,27.6
56,"Wadding, felt, nonwoven",666.3,474.6,191.7,608.4,481.4,127.0,Surplus,-8.7,1.4
57,Carpets,2097.7,174.4,1923.3,1974.2,177.8,1796.4,Surplus,-5.9,2.0
58,Special textiles,367.5,227.7,139.8,390.0,241.0,148.9,Surplus,6.1,5.9
59,"Impregnated, coated textiles",503.5,808.5,-305.1,436.9,938.0,-501.2,Deficit,-13.2,16.0
60,Knitted fabrics,590.9,894.1,-303.2,494.6,950.1,-455.5,Deficit,-16.3,6.3
61,Apparel (knit),7703.9,730.6,6973.3,7642.1,818.4,6823.6,Surplus,-0.8,12.0
62,Apparel (woven),8303.2,911.9,7391.3,8172.5,893.7,7278.9,Surplus,-1.6,-2.0
63,Made-up textile articles,6103.1,635.5,5467.6,5995.3,677.1,5318.2,Surplus,-1.8,6.5
64,Footwear,2504.9,679.2,1825.7,2462.2,628.8,1833.4,Surplus,-1.7,-7.4
68,Glass/ceramic composites,2213.2,1070.8,1142.4,2029.8,1162.8,867.0,Surplus,-8.3,8.6
70,Glass & glass products,1143.5,2198.5,-1055.0,1170.4,3123.7,-1953.3,Deficit,2.4,42.1
