segment,hsn_codes,exp_fy25,imp_fy25,exp_fy26,imp_fy26,net_fy26,exp_growth_pct,imp_growth_pct
Packtech,15,1126.2,47.1,1276.8,64.7,1212.1,13.4,37.3
Indutech,118,779.4,890.7,690.2,1014.9,-324.8,-11.4,14.0
Mobiltech,12,360.0,573.7,282.8,592.4,-309.6,-21.4,3.2
Meditech,23,260.6,170.7,237.2,160.4,76.8,-9.0,-6.0
Specialty Fibres & Composites,31,198.5,554.7,218.4,613.9,-395.5,10.0,10.7
Hometech,14,172.2,106.2,209.0,112.9,96.1,21.4,6.4
Agrotech,11,231.0,91.8,193.0,100.2,92.7,-16.4,9.2
Sportech,34,147.5,52.1,145.4,53.9,91.5,-1.4,3.6
Protech,22,62.7,29.1,75.7,34.0,41.8,20.8,16.9
Geotech,8,47.7,3.5,50.2,4.0,46.2,5.3,14.8
Buildtech,10,12.2,3.8,21.4,5.1,16.3,74.6,33.6
Defence Textile,11,19.9,24.8,13.0,27.9,-14.9,-34.4,12.5
Clothtech,5,8.3,30.5,9.0,32.1,-23.0,8.3,5.3
