segment,hsn_codes_in_list,codes_matched_in_tradestat,exports_usd_mn_fy25,imports_usd_mn_fy25,exports_usd_mn_fy26,imports_usd_mn_fy26,net_usd_mn_fy26,trade_balance_fy26
Packtech,15,15,1126.16,47.12,1276.77,64.69,1212.08,Surplus
Indutech,118,93,779.36,890.66,690.16,1014.92,-324.76,Deficit
Mobile Textiles:,12,12,360.0,573.72,282.79,592.36,-309.57,Deficit
Specialty  Fibers  & Composites,31,29,198.5,554.65,218.42,613.93,-395.51,Deficit
Hometech,14,13,172.18,106.18,209.0,112.95,96.05,Surplus
Agro-textiles,10,9,173.26,72.6,137.11,76.13,60.98,Surplus
Medical/ Hygiene Textiles,15,15,146.42,123.69,128.93,107.83,21.1,Surplus
Meditech,8,6,114.19,46.99,108.25,52.59,55.66,Surplus
Sports Textiles,7,7,105.86,32.51,102.61,37.08,65.53,Surplus
Protech,15,10,52.56,27.21,64.68,32.88,31.8,Surplus
Agrotech,1,1,57.72,19.24,55.88,24.12,31.76,Surplus
Sportech,27,19,41.65,19.57,42.8,16.87,25.93,Surplus
Geo-textiles,6,6,32.48,2.41,36.43,2.91,33.52,Surplus
Building/Construct ion Textiles:,10,9,12.24,3.81,21.37,5.09,16.28,Surplus
Geotech,2,2,15.19,1.11,13.76,1.13,12.63,Surplus
Defence Textile,11,9,19.86,24.79,13.03,27.89,-14.86,Deficit
Protective  Textiles (other than defence textiles):,7,7,10.12,1.84,11.06,1.09,9.97,Surplus
Clothtech,5,5,8.35,30.46,9.04,32.06,-23.02,Deficit
