hsn8,commodity,chapter,exp_usd_mn_fy25,exp_usd_mn_fy26,imp_usd_mn_fy25,imp_usd_mn_fy26,net_usd_mn_fy25,net_usd_mn_fy26,net_change_usd_mn
52010024,"Cotton, other than Indian, of staple length exceeding 27.0 mm but not exceeding 32.0 mm",52,23.07,6.57,917.11,1637.29,-894.04,-1630.72,-736.68
39041020,SUSPENSION GRADE PVC RESIN,39,1.41,0.49,2124.86,1632.55,-2123.45,-1632.06,491.39
29173600,TEREPHTHALIC ACID AND ITS SALTS,29,6.05,3.2,1598.3,1469.2,-1592.25,-1466.0,126.25
39021000,POLYPROPYLENE,39,376.68,239.91,1152.36,1372.03,-775.68,-1132.12,-356.44
39269099,OTHR ARTICLE OF PLASTIC NES,39,507.13,472.03,1064.04,1228.46,-556.91,-756.43,-199.52
29025000,STYRENE,29,26.11,17.85,1314.26,1133.78,-1288.15,-1115.93,172.22
29051100,SATURATED METHANOL (METHYL ALCOHOL),29,24.5,28.11,917.58,1085.77,-893.08,-1057.66,-164.58
39012000,POLYETHYLENE HVNG A SPCFC GRVTY 0.94 /MORE,39,142.98,110.95,1151.23,938.56,-1008.25,-827.61,180.64
29419090,OTHER ANTIBIOTICS,29,564.24,511.8,788.08,830.82,-223.84,-319.02,-95.18
29339990,OTHERS-OF-OTHER HETERDCYCLIC CMPNDS WITH NITROGEN HETRO ATOM (S) ONLY,29,1504.51,1295.22,816.82,778.44,687.69,516.78,-170.91
29024300,P-XYLENE,29,204.6,306.32,942.08,720.75,-737.48,-414.43,323.05
29011000,SATURATED ACYCLIC HYDROCARBONS,29,14.55,13.74,654.0,688.9,-639.45,-675.16,-35.71
29349990,OTHERS-OF-OTHER HETEROCYCLIC COMPOUNDS,29,645.83,715.57,654.1,685.75,-8.27,29.82,38.09
39199090,OTHER SELF-ADHSV PLTS ETC   NES,39,130.92,118.27,627.74,657.78,-496.82,-539.51,-42.69
29053100,ETHYLENE GLYCOL (ETHANEDIOL),29,35.74,35.41,619.04,649.61,-583.3,-614.2,-30.9
39023000,PROPYLENE COPOLYMERS,39,26.27,26.37,576.23,613.28,-549.96,-586.91,-36.95
39074000,POLYCARBONATES,39,4.86,3.48,655.67,611.09,-650.81,-607.61,43.2
39069090,OTHERS ACRYLIC POLYMERS IN PRIMARY FORMS  EXCL. POLY (METHYL METHACRYLATE,39,251.43,242.63,574.46,600.91,-323.03,-358.28,-35.25
39072990,"OTHERS-OF-OTHERS-OF-POLYACETALS, OTHER POLYETHERS AND EPOXIDE RESINS,",39,93.61,66.5,485.96,599.98,-392.35,-533.48,-141.13
39201099,"OTHR PLTS,SHEET OF POLYMRS OF ETHYLENE NES",39,32.24,30.6,338.38,551.1,-306.14,-520.5,-214.36
39014090,"OTHERS-OF-ETHYLENE-ALPHA-OLEFIN COPOLYMERS, HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94",39,0.67,1.31,509.24,502.88,-508.57,-501.57,7.0
29335990,OTHER CMPNDS CNTNG A PYRIMIDINE RING (W/N HYDRGNTD) OR PIPERAZINE RING IN STRUCTURE,29,529.14,700.13,390.18,495.35,138.96,204.78,65.82
29152100,ACETIC ACID,29,15.48,10.88,477.43,489.95,-461.95,-479.07,-17.12
29023000,TOLUENE,29,22.14,24.23,551.12,449.77,-528.98,-425.54,103.44
39013000,ETHYLENE-VINYL ACETATE COPOLYMERS,39,4.43,4.11,426.79,444.8,-422.36,-440.69,-18.33
39041090,"OTHER PLY (VINYL CHORIDE), NOT MIXED WITH ANY OTHER SUBSTANCES",39,1.72,1.95,462.74,441.77,-461.02,-439.82,21.2
39011090,OTHR POLYETHYLENE HVNG A SPFC GRVTY < 0.94,39,73.86,91.47,418.09,416.63,-344.23,-325.16,19.07
