Project,Developer,Location,Product,Capacity_MMTPA_FY26,Capacity_MMTPA_FY28,Capacity_MMTPA_FY30,Investment_Crores_USD,Status,Timeline_Start,Timeline_End,Textile_Relevance
BPCL Kochi Polypropylene,BPCL,Kochi - Kerala,Polypropylene,0.15,0.15,0.15,599,Commissioned,2023,2026,Packtech + Buildtech
BPCL Andhra Pradesh Refinery,BPCL,Visakhapatnam - AP,Ethylene + Propylene (Crackers),0,1.2,1.8,11430,Under Construction,2024,2030,Indutech + Mobiltech + all segments
BPCL Bina LLDPE/HDPE Swing Unit,BPCL+L&T EPCC,Bina - MP,LLDPE/HDPE (Flexible),0.4,0.6,1.0,7500,Under Construction,2024,2029,Mobiltech + Packtech
RIL O2C Capacity Increase,Reliance Industries,Jamnagar - GJ,Polyethylene + Polypropylene,0.8,1.5,2.0,8600,Planned/In Progress,2025,2030,All polymer-dependent segments
RIL Polyester Integration,Reliance Industries,Jamnagar - GJ,PTA + MEG,0.3,0.6,1.0,4000,Planned,2025,2029,Clothtech + Indutech (polyester fiber upstream)
Private Sector PP Capacity,Multiple AIPMA members,Various Pan-India,Polypropylene,0.2,0.4,0.8,2500,Emerging,2026,2030,Niche segments (Medic + Sportech)
Bio-Polyols (Tata-TERI),Tata Chemicals + TERI,TBD - Southern/Western,Bio-polyols for polyurethane,0.01,0.05,0.10,800,R&D Phase,2025,2030,Hometech + Buildtech (coated textiles)
BHAVYA Park Chemical Units (Aggregated),State Govts + Private,3 locations TBD,Specialty chemicals + C2/C3 derivatives,0.1,0.3,0.6,3030,Planned/Tender,2026,2031,All segments (downstream processing)
Total Polymer Feedstock Capacity,—,—,All categories,2.0,4.4,7.3,38459,—,—,—,—
Existing Base Capacity (FY25),—,—,All polymers,2.3,2.3,2.3,—,Baseline,—,—,—
