source,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,chg_5yr_pct,cagr_pct
Assam (onshore),4093,3902,3991,4166,4361,4454,8.8,1.7
Gujarat (onshore),4707,4651,4626,4849,4950,5135,9.1,1.8
Rajasthan / Barmer (onshore),6653,5891,5885,5074,4421,3428,-48.5,-12.4
Andhra Pradesh (onshore),243,195,202,236,250,284,16.9,3.2
Tamil Nadu (onshore),415,410,367,324,294,263,-36.6,-8.7
Arunachal (onshore),56,53,48,47,52,50,-10.7,-2.2
Western Offshore (Mumbai High),14857,14236,13604,13552,13239,12471,-16.1,-3.4
Eastern Offshore (KG deepwater),557,744,626,550,1463,2437,337.5,34.3
Gujarat Offshore,589,411,338,379,326,181,-69.3,-21.0
ONSHORE TOTAL,16167,15102,15119,14696,14328,13614,-15.8,-3.4
OFFSHORE TOTAL,16003,15391,14568,14481,15028,15089,-5.7,-1.2
TOTAL,32170,30493,29687,29177,29356,28703,-10.8,-2.3
