rank,state,vehicles,share_pct,cumulative_pct
1,Uttar Pradesh,2478330,13.69,13.69
2,Maharashtra,1968620,10.88,24.57
3,Tamil Nadu,1554821,8.59,33.16
4,Karnataka,1257827,6.95,40.12
5,Gujarat,1243559,6.87,46.99
6,Madhya Pradesh,990681,5.47,52.46
7,Rajasthan,977726,5.4,57.86
8,Bihar,921032,5.09,62.95
9,West Bengal,813177,4.49,67.45
10,Haryana,634621,3.51,70.95
11,Telangana,616199,3.41,74.36
12,Andhra Pradesh,612349,3.38,77.74
13,Kerala,591218,3.27,81.01
14,Odisha,583134,3.22,84.23
15,Punjab,490187,2.71,86.94
16,Delhi,481224,2.66,89.6
17,Jharkhand,405759,2.24,91.84
18,Chhattisgarh,404217,2.23,94.08
19,Assam,364595,2.01,96.09
20,Uttarakhand,174198,0.96,97.05
21,Jammu & Kashmir,130461,0.72,97.77
22,Himachal Pradesh,95083,0.53,98.3
23,Puducherry,51828,0.29,98.59
24,Goa,49798,0.28,98.86
25,Tripura,31248,0.17,99.03
26,Chandigarh,31096,0.17,99.21
27,Meghalaya,26011,0.14,99.35
28,Arunachal Pradesh,24892,0.14,99.49
29,Manipur,21891,0.12,99.61
30,Mizoram,20395,0.11,99.72
31,Nagaland,17969,0.1,99.82
32,DNH & DD,14697,0.08,99.9
33,Sikkim,7444,0.04,99.94
34,Andaman & Nicobar,6892,0.04,99.98
35,Ladakh,2967,0.02,100.0
36,Lakshadweep,711,0.0,100.0
