state,Petrol,Diesel,CNG,EV,StrongHybrid,Total
Andaman & Nicobar,6118,408,8,97,46,6892
Andhra Pradesh,446652,80985,14034,61423,1236,612349
Arunachal Pradesh,16836,6784,37,98,103,24892
Assam,278580,19718,427,61211,340,364595
Bihar,738218,60463,30940,82820,457,921032
Chandigarh,20802,4090,673,3850,993,31096
Chhattisgarh,299811,54723,875,34950,868,404217
Delhi,349240,7352,56366,57741,5817,481224
Goa,37311,3067,827,7036,247,49798
Gujarat,845651,160569,156227,68193,5101,1243559
Haryana,392582,109663,99399,21288,5926,634621
Himachal Pradesh,76375,13971,537,1297,523,95083
Jammu & Kashmir,99935,18426,131,9351,211,130461
Jharkhand,331846,35705,8579,24358,377,405759
Karnataka,861292,134401,65320,167258,7277,1257827
Kerala,427027,50554,16640,81920,5014,591218
Ladakh,2017,776,0,4,5,2967
Lakshadweep,622,18,0,64,0,711
Madhya Pradesh,687979,139953,49904,106097,1208,990681
Maharashtra,1348343,212598,172640,203910,9711,1968620
Manipur,19040,1329,1,1105,20,21891
Meghalaya,21907,2934,5,543,49,26011
Mizoram,17218,2294,0,733,18,20395
Nagaland,8402,8869,202,20,45,17969
Odisha,427299,58351,7780,82689,914,583134
Puducherry,43384,2268,618,4420,335,51828
Punjab,348746,87113,11237,32825,3196,490187
Rajasthan,632957,179593,65228,91066,1686,977726
Sikkim,5906,1455,0,12,10,7444
Tamil Nadu,1211013,121240,43483,157548,5394,1554821
Telangana,436293,71193,20445,71226,1350,616199
Tripura,20208,2081,3369,5412,21,31248
DNH & DD,9551,3386,1091,194,227,14697
Uttarakhand,135237,16335,4637,14155,790,174198
Uttar Pradesh,1859562,208374,138753,255655,5762,2478330
West Bengal,651038,47757,10974,95109,1230,813177
