fuel,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
CNG ONLY,0,42046,93,0,386,329445,0,7253,0,1108,87943,625,9566,6587,5,3907,20,488984
DIESEL,0,2,0,1,263,166567,411,277332,3977,33244,497243,1734154,104471,42021,7808,34357,84309,2986160
DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,1,8650,75,0,0,0,0,8726
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DUAL DIESEL/LNG,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39
ELECTRIC(BOV),11,210902,5326,0,556,513084,29,125,0,1722,4495,53154,1579,0,0,36,165,791184
ETHANOL(E100),0,1290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,6
LNG,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,607
LPG ONLY,0,0,0,0,53,42705,0,0,0,0,0,8,2,0,0,0,0,42768
NOT APPLICABLE,0,1,0,0,0,111,0,1701,19,0,13331,62809,1,157,2965,0,9,81104
PETROL,18643,14397302,11206,58,20,3815,1652,1,0,5,21892,1425747,41904,1,0,10,361,15922617
PETROL/CNG,0,964,0,0,1,12186,603,0,0,0,6009,661538,199608,0,0,0,20,880929
PETROL(E20),5820,5221029,2911,1,3,1603,749,1,0,2,13094,775610,12024,0,0,0,42,6032889
PETROL(E20)/CNG,0,0,0,0,0,0,38,0,0,0,372,83380,26447,0,0,0,0,110237
PETROL(E20)/HYBRID,0,0,0,0,0,0,19,0,0,0,0,35447,742,0,0,0,0,36208
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,68,13,0,0,0,0,81
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,21,584,13,0,0,0,0,618
PETROL/HYBRID,0,0,0,0,0,0,95,0,0,0,0,207269,7655,0,0,0,0,215019
PETROL/HYBRID/CNG,0,0,0,0,0,0,1,0,0,0,0,357,146,0,0,0,0,504
PETROL/LPG,0,0,0,0,0,6008,6,0,0,0,140,9648,495,0,0,0,0,16297
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,73
PURE EV,50,1120132,5893,0,203,287557,42,457,0,3152,6657,136299,5222,0,0,48,38,1565750
STRONG HYBRID EV,0,0,0,0,0,0,47,0,0,0,0,106219,2227,0,1,0,0,108494
